,srcSpeed,srcAPS,srcGyroValue,srcRPM,srcTPS,srcMAF,srcEngineLoad,Diagnose
0,0,0,-0.04294816,934.537234,17.254902,3.994255319,32.56570683,NULL
1,0,0,-0.720394605,1569.148438,16.862745,10.43375,38.29656838,NULL
2,0,0,0,1231.794118,17.22029982,0,22.47981653,NULL
3,0,0,0,1204.627907,17.3096213,0,22.62653958,NULL
4,0,0,0,1176.134615,14.31372531,0,22.30015123,NULL
5,0,0,0,1156.1,14.43137237,0,22.9411768,NULL
7,0,0,0,1156.1,14.43137237,0,22.9411768,NULL
9,0,0,0,0,12.18865916,0,0,NULL
10,0,0,0,0,13.88888879,0,0,NULL
11,0,0,0,0,13.8607166,0,0,NULL
12,0,0,0,0,14.05228748,0,0,NULL
14,0,0,0,0,14.05228748,0,0,NULL
16,20.86666667,0,0,1148.033333,18.10457493,0,29.89542433,NULL
17,18.36842105,0,0,1185.921053,17.92569642,0,29.54592321,NULL
18,23.32608696,0,0,1375.326087,18.85762985,0,34.77408265,NULL
19,22.01694915,0,0,1356.101695,18.37155181,0,27.11199664,NULL
20,22.4,0,0,1361.6,18.06535928,0,26.66013003,NULL
22,1.029411765,0,0,1108.647059,8.615916941,0,0,NULL
23,3.5,0,0,1087.190476,10.33613429,0,5.079364952,NULL
24,9.526315789,0,0,1149.175439,12.77605763,0,16.14035068,NULL
25,9.366666667,0,0,1147.716667,12.99999985,0,16.99346388,NULL
27,9.366666667,0,0,1147.716667,12.99999985,0,16.99346388,NULL
29,53,0,0,2035.705882,23.48327565,0,37.90080703,NULL
30,53.94545455,0,0,1902.636364,22.70231742,0,44.8484848,NULL
31,51.46666667,0,0,1897.566667,21.5294119,0,42.4444444,NULL
33,1.309090909,0,0,1176.945455,18.63101615,0,37.66845011,NULL
34,0.509090909,0,0,1017.981818,1.675579351,15.33690909,36.8556149,NULL
35,6.297297297,16.53418168,-3.825387431,1145.898649,13.89507154,5.666216216,46.40169565,NULL
36,0,0,0,750.2166667,0,5.725166667,15.35947742,NULL
